Player,BODY FAT,HEIGHT_NO_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,Year
Jakob Poeltl,5.80%,84.25,9' 3.5'',239.0,86.75,2016
Taurean Prince,6.45%,78.5,8' 6'',220.2,83.5,2016
Zhou Qi,4.85%,85.25,9' 4.5'',218.2,91.75,2016
Malachi Richardson,7.00%,76.75,8' 5.5'',199.6,84.0,2016
Wayne Selden,7.30%,76.25,8' 5'',232.4,82.5,2016
Pascal Siakam,5.20%,80.25,8' 11.5'',226.6,87.25,2016
Diamond Stone,12.85%,81.0,9' 0.5'',254.4,86.75,2016
Caleb Swanigan,12.55%,79.5,8' 11'',246.6,87.5,2016
Melo Trimble,8.35%,73.25,7' 8.5'',191.8,74.0,2016
Tyler Ulis,5.20%,68.75,7' 4.5'',149.2,74.0,2016
Jarrod Uthoff,6.00%,80.5,8' 8'',214.4,83.5,2016
Denzel Valentine,9.20%,76.0,8' 6'',210.4,82.75,2016
Isaiah Whitehead,9.25%,75.25,8' 4'',210.0,80.75,2016
Troy Williams,10.00%,77.75,8' 6'',217.8,80.25,2016
Kyle Wiltjer,15.25%,80.75,8' 6.5'',242.8,84.25,2016
Stephen Zimmerman,11.15%,82.25,9' 0.5'',234.0,87.25,2016
Edrice Adebayo,5.20%,80.75,9' 0'',242.6,86.75,2017
Rawle Alkins,11.00%,74.5,8' 3'',222.6,80.75,2017
Jarrett Allen,7.40%,81.0,9' 1.5'',233.6,89.25,2017
Kadeem Allen,6.40%,73.0,8' 3.5'',192.4,81.25,2017
Ike Anigbogu,5.40%,80.5,9' 2.5'',252.2,90.25,2017
OG Anunoby,6.80%,78.25,8' 11.5'',232.4,86.25,2017
Jamel Artis,11.90%,77.5,8' 9'',213.2,82.0,2017
Dwayne Bacon,7.90%,76.75,8' 7.5'',221.6,82.0,2017
V.J. Beachem,6.80%,78.25,8' 8.5'',193.4,82.25,2017
Jordan Bell,5.40%,79.0,8' 8.5'',223.6,83.75,2017
Jaron Blossomgame,5.70%,77.75,8' 8.5'',218.6,82.0,2017
Chris Boucher,5.40%,80.0,9' 2.5'',182.2,88.0,2017
